日期					积极	中立	消极	积极	中立	消极
2020/1/1	81	2022	1245.485997	0.615967358	882	777	363	44%	38%	18%
2020/1/2	173	4238	2553.895996	0.602618215	1866	1467	905	44%	35%	21%
2020/1/3	177	3826	2183.535949	0.570709866	1382	1646	798	36%	43%	21%
2020/1/4	91	2971	1737.653196	0.58487149	1209	1095	667	41%	37%	22%
2020/1/5	49	1796	1093.359117	0.608774564	826	573	397	46%	32%	22%
2020/1/6	185	5534	3145.604597	0.568414275	2147	2080	1307	39%	38%	24%
2020/1/7	99	2214	1314.988278	0.593942312	996	684	534	45%	31%	24%
2020/1/8	154	3005	1616.062751	0.537791265	1079	1077	849	36%	36%	28%
2020/1/9	48	585	351.5863162	0.60100225	264	182	139	45%	31%	24%
2020/1/10	127	1611	925.3416735	0.574389617	674	528	409	42%	33%	25%
2020/1/11	81	1967	1069.348239	0.543644249	759	626	582	39%	32%	30%
2020/1/12	74	1445	768.1901971	0.531619514	531	488	426	37%	34%	29%
2020/1/13	143	2658	1486.447458	0.559235312	1059	895	704	40%	34%	26%
2020/1/14	145	3077	1805.813397	0.586874682	1315	1043	719	43%	34%	23%
2020/1/15	158	2572	1490.026891	0.579326163	1098	847	627	43%	33%	24%
2020/1/16	148	2757	1388.628391	0.5036737	964	841	952	35%	31%	35%
2020/1/17	143	2564	1428.474056	0.557127167	936	1004	624	37%	39%	24%
2020/1/18	69	1660	876.5013847	0.528012882	568	632	460	34%	38%	28%
2020/1/19	114	3363	1992.798091	0.592565594	1440	1150	773	43%	34%	23%
2020/1/20	147	2238	1310.005092	0.585346332	954	766	518	43%	34%	23%
2020/1/21	146	2194	1138.500154	0.518915293	791	692	711	36%	32%	32%
2020/1/22	165	4087	2091.264556	0.511686948	1461	1269	1357	36%	31%	33%
2020/1/23	173	3294	1857.19258	0.563810741	1310	1122	862	40%	34%	26%
2020/1/24	85	2501	1555.682487	0.622024185	1198	808	495	48%	32%	20%
2020/1/25	66	1846	986.1055618	0.534185028	728	514	604	39%	28%	33%
2020/1/26	43	2196	1244.621118	0.566767358	942	613	641	43%	28%	29%
2020/1/27	75	2211	1264.58555	0.571951854	957	655	599	43%	30%	27%
2020/1/28	102	2341	1332.001121	0.568988091	985	704	652	42%	30%	28%
2020/1/29	120	2865	1681.102581	0.58677228	1277	877	711	45%	31%	25%
2020/1/30	115	2117	1243.100989	0.587199333	935	661	521	44%	31%	25%
2020/1/31	128	2302	1300.973955	0.565149416	934	761	607	41%	33%	26%
2020/2/1	102	2720	1502.541132	0.552404828	1129	766	825	42%	28%	30%
2020/2/2	92	2070	1049.688536	0.507095911	730	613	727	35%	30%	35%
2020/2/3	186	3177	1720.624905	0.541587946	1213	1020	944	38%	32%	30%
2020/2/4	163	2276	1347.208984	0.591919589	1020	710	546	45%	31%	24%
2020/2/5	85	1245	729.8797624	0.586248805	561	375	309	45%	30%	25%
2020/2/6	149	3226	1856.254612	0.575404405	1305	1135	786	40%	35%	24%
2020/2/7	179	2704	1625.867927	0.601282517	1236	815	653	46%	30%	24%
2020/2/8	103	2218	1179.14249	0.531624206	845	665	708	38%	30%	32%
2020/2/9	45	1380	784.5610669	0.568522512	570	460	350	41%	33%	25%
2020/2/10	175	2100	1161.527778	0.553108466	848	675	577	40%	32%	27%
2020/2/11	168	3596	1986.650246	0.552461136	1451	1112	1033	40%	31%	29%
2020/2/12	159	3630	1876.407782	0.516916744	1317	1142	1171	36%	31%	32%
2020/2/13	229	4574	2716.679101	0.593939462	1994	1526	1054	44%	33%	23%
2020/2/14	208	3553	2086.832711	0.587343853	1561	1115	877	44%	31%	25%
2020/2/15	103	2584	1546.930497	0.598657313	1187	757	640	46%	29%	25%
2020/2/16	77	1486	860.6994037	0.579205521	670	404	412	45%	27%	28%
2020/2/17	56	1051	596.6799732	0.56772595	341	516	194	32%	49%	18%
2020/2/18	182	2276	1396.939149	0.613769398	1064	721	491	47%	32%	22%
2020/2/19	158	2144	1337.696112	0.623925425	1035	667	442	48%	31%	21%
2020/2/20	167	4016	2409.107215	0.599877294	1807	1324	885	45%	33%	22%
2020/2/21	171	3348	1913.779825	0.571618825	1400	1075	873	42%	32%	26%
2020/2/22	87	1996	1213.628053	0.608030087	914	672	410	46%	34%	21%
2020/2/23	54	1140	623.3085462	0.546761883	478	310	352	42%	27%	31%
2020/2/24	178	3036	1759.122812	0.579421216	1336	924	776	44%	30%	26%
2020/2/25	209	2791	1734.870245	0.621594498	1348	834	609	48%	30%	22%
2020/2/26	248	3973	2406.847378	0.605801001	1824	1250	899	46%	31%	23%
2020/2/27	169	3210	2055.111682	0.640221708	1626	943	641	51%	29%	20%
2020/2/28	239	5046	3099.088385	0.614167337	2402	1525	1119	48%	30%	22%
2020/2/29	115	1942	1161.521079	0.598105602	866	620	456	45%	32%	23%
2020/3/1	72	1245	739.7055847	0.594141032	559	386	300	45%	31%	24%
2020/3/2	199	3634	2262.614074	0.622623576	1737	1167	730	48%	32%	20%
2020/3/3	205	4321	2582.794575	0.597730751	1882	1476	963	44%	34%	22%
2020/3/4	275	4084	2274.799883	0.55700291	1625	1343	1116	40%	33%	27%
2020/3/5	207	4654	2727.191674	0.585988757	2031	1477	1146	44%	32%	25%
2020/3/6	231	4498	2713.442916	0.603255428	2001	1537	960	44%	34%	21%
2020/3/7	108	2983	1791.628173	0.600612864	1340	961	682	45%	32%	23%
2020/3/8	85	1952	1153.243794	0.590801124	864	612	476	44%	31%	24%
2020/3/9	272	5560	3210.202767	0.577374598	2325	1873	1362	42%	34%	24%
2020/3/10	309	5815	3501.252963	0.60210713	2621	1862	1332	45%	32%	23%
2020/3/11	296	4862	2899.588467	0.596377718	2117	1647	1098	44%	34%	23%
2020/3/12	327	6459	3849.512934	0.595992094	2867	2050	1542	44%	32%	24%
2020/3/13	289	4140	2472.512494	0.59722524	1870	1273	997	45%	31%	24%
2020/3/14	107	4224	2666.11476	0.631182472	2133	1152	939	50%	27%	22%
2020/3/15	85	1806	1030.805345	0.570767079	736	603	467	41%	33%	26%
2020/3/16	293	5259	3068.83747	0.583540116	2247	1715	1297	43%	33%	25%
2020/3/17	296	5505	3194.195063	0.580235252	2388	1680	1437	43%	31%	26%
2020/3/18	278	5781	3361.098112	0.581404275	2523	1753	1505	44%	30%	26%
2020/3/19	313	6034	3655.948859	0.605891425	2831	1751	1452	47%	29%	24%
2020/3/20	240	5786	3372.768111	0.582918789	2510	1826	1450	43%	32%	25%
2020/3/21	114	3383	2058.129946	0.608374208	1578	1034	771	47%	31%	23%
2020/3/22	86	2549	1444.749272	0.566790613	1052	811	686	41%	32%	27%
2020/3/23	246	6400	3682.483948	0.575388117	2650	2124	1626	41%	33%	25%
2020/3/24	231	5169	2988.81182	0.578218576	2275	1506	1388	44%	29%	27%
2020/3/25	206	4836	2737.195222	0.566003975	1988	1547	1301	41%	32%	27%
2020/3/26	222	5471	3240.460606	0.59229768	2401	1764	1306	44%	32%	24%
2020/3/27	226	5929	3440.584688	0.580297637	2531	1898	1500	43%	32%	25%
2020/3/28	118	3464	1972.174739	0.569334509	1420	1114	930	41%	32%	27%
2020/3/29	58	1345	799.5250719	0.594442433	590	441	314	44%	33%	23%
2020/3/30	188	4311	2491.406128	0.577918378	1815	1413	1083	42%	33%	25%
2020/3/31	190	5465	3219.093978	0.589038239	2418	1689	1358	44%	31%	25%
2020/4/1	209	5644	3378.634617	0.598624135	2537	1810	1297	45%	32%	23%
2020/4/2	234	7966	4635.264065	0.581881002	3472	2394	2100	44%	30%	26%
2020/4/3	293	10590	6063.473082	0.572565919	4537	3203	2850	43%	30%	27%
2020/4/4	115	5250	3185.322084	0.606728016	2400	1645	1205	46%	31%	23%
2020/4/5	59	2414	1373.095094	0.568804927	1027	713	674	43%	30%	28%
2020/4/6	85	3832	2317.170447	0.604689574	1778	1155	899	46%	30%	23%
2020/4/7	213	6268	3831.739797	0.611317772	2876	2047	1345	46%	33%	21%
2020/4/8	242	7076	4184.986941	0.591433994	3072	2353	1651	43%	33%	23%
2020/4/9	234	6714	3915.353343	0.583162547	2973	2004	1737	44%	30%	26%
2020/4/10	189	5218	3006.359025	0.576151595	2227	1626	1365	43%	31%	26%
2020/4/11	100	3022	1713.760314	0.567094743	1265	939	818	42%	31%	27%
2020/4/12	64	2120	1217.085454	0.574096912	917	615	588	43%	29%	28%
2020/4/13	200	4127	2320.327905	0.562231138	1660	1352	1115	40%	33%	27%
2020/4/14	235	4386	2425.352942	0.552976047	1706	1472	1208	39%	34%	28%
2020/4/15	237	5643	3421.739931	0.60636894	2544	1843	1256	45%	33%	22%
2020/4/16	224	4463	2406.397246	0.539188269	1691	1451	1321	38%	33%	30%
2020/4/17	165	2567	1578.166508	0.614790225	1248	719	600	49%	28%	23%
2020/4/18	80	2617	1440.373586	0.55039113	1071	773	773	41%	30%	30%
2020/4/19	89	3101	1786.333057	0.576050647	1330	965	806	43%	31%	26%
2020/4/20	215	4395	2354.691894	0.535766074	1635	1455	1305	37%	33%	30%
2020/4/21	268	5081	2851.344223	0.561177765	2135	1480	1466	42%	29%	29%
2020/4/22	232	7032	3697.121651	0.525756776	2642	2164	2226	38%	31%	32%
2020/4/23	223	6142	3098.887093	0.504540393	2217	1740	2185	36%	28%	36%
2020/4/24	224	5845	3068.958315	0.525057026	2225	1692	1928	38%	29%	33%
2020/4/25	119	5393	2779.444559	0.515380041	1954	1639	1800	36%	30%	33%
2020/4/26	151	5625	3022.189027	0.537278049	2110	1821	1694	38%	32%	30%
2020/4/27	258	7378	4326.106893	0.586352249	3143	2471	1764	43%	33%	24%
2020/4/28	241	4293	2477.681595	0.57714456	1822	1348	1123	42%	31%	26%
2020/4/29	197	4347	2364.259158	0.543882944	1720	1320	1307	40%	30%	30%
2020/4/30	240	5549	3177.932709	0.572703678	2256	1892	1401	41%	34%	25%
2020/5/1	102	4613	2608.675104	0.565505117	1803	1649	1161	39%	36%	25%
2020/5/2	81	3278	1996.013146	0.608911881	1507	1075	696	46%	33%	21%
2020/5/3	105	3962	2561.807714	0.646594577	1968	1302	692	50%	33%	17%
2020/5/4	79	2986	1782.170633	0.596842141	1333	934	719	45%	31%	24%
2020/5/5	127	3317	1863.860953	0.561911653	1338	1080	899	40%	33%	27%
2020/5/6	196	5586	3181.952088	0.569629804	2341	1742	1503	42%	31%	27%
2020/5/7	216	4485	2603.941945	0.580589062	1927	1428	1130	43%	32%	25%
2020/5/8	207	5620	3393.789727	0.603877176	2496	1896	1228	44%	34%	22%
2020/5/9	165	5228	3037.82227	0.581067764	2215	1672	1341	42%	32%	26%
2020/5/10	69	1816	950.5387916	0.523424445	669	582	565	37%	32%	31%
2020/5/11	187	3984	2225.076657	0.558503177	1622	1274	1088	41%	32%	27%
2020/5/12	219	5381	3009.745497	0.559328284	2243	1594	1544	42%	30%	29%
2020/5/13	231	5576	3244.764983	0.581916245	2382	1785	1409	43%	32%	25%
2020/5/14	243	5497	3197.678404	0.581713372	2404	1651	1442	44%	30%	26%
2020/5/15	232	5390	3207.991785	0.595174728	2344	1803	1243	43%	33%	23%
2020/5/16	127	2931	1703.691211	0.581266193	1261	938	732	43%	32%	25%
2020/5/17	60	2756	1663.674387	0.603655438	1254	839	663	46%	30%	24%
2020/5/18	240	6134	3692.589713	0.601987237	2784	1906	1444	45%	31%	24%
2020/5/19	245	5239	2976.299027	0.568104414	2180	1639	1420	42%	31%	27%
2020/5/20	260	4685	2556.798705	0.545741453	1905	1340	1440	41%	29%	31%
2020/5/21	173	2876	1738.447126	0.604467012	1287	947	642	45%	33%	22%
2020/5/22	178	2956	1649.757727	0.558104779	1234	865	857	42%	29%	29%
2020/5/23	100	1836	1147.568914	0.625037535	892	542	402	49%	30%	22%
2020/5/24	69	1709	922.9720985	0.540065593	641	567	501	38%	33%	29%
2020/5/25	161	2972	1718.57107	0.578254061	1275	937	760	43%	32%	26%
2020/5/26	185	2201	1335.04108	0.606561145	994	729	478	45%	33%	22%
2020/5/27	183	2266	1370.304034	0.604723757	1031	717	518	45%	32%	23%
2020/5/28	162	2121	1326.672634	0.625493934	1010	681	430	48%	32%	20%
2020/5/29	194	1857	1048.396165	0.56456444	772	573	512	42%	31%	28%
2020/5/30	95	2352	1468.218766	0.624242673	1126	715	511	48%	30%	22%
2020/5/31	82	3144	1890.013183	0.601149231	1449	947	748	46%	30%	24%
