日期					积极	中立	消极	积极	中立	消极
2020/1/1	101	3332	2120.166281	0.636304406	1530	1269	533	46%	38%	16%
2020/1/2	173	6466	3994.076805	0.617704424	2988	2183	1295	46%	34%	20%
2020/1/3	236	8034	5168.995838	0.643390072	4026	2508	1500	50%	31%	19%
2020/1/4	159	6476	4171.897374	0.644208983	3183	2170	1123	49%	34%	17%
2020/1/5	144	6798	4515.270602	0.664205737	3563	2099	1136	52%	31%	17%
2020/1/6	302	11914	7514.161535	0.630700146	5814	3651	2449	49%	31%	21%
2020/1/7	104	3761	2318.913563	0.61656835	1653	1388	720	44%	37%	19%
2020/1/8	411	13080	7994.696736	0.611215347	6065	4112	2903	46%	31%	22%
2020/1/9	86	2884	1805.756395	0.626129125	1315	1027	542	46%	36%	19%
2020/1/10	238	6968	4206.959211	0.603754192	3071	2380	1517	44%	34%	22%
2020/1/11	185	8706	5355.346864	0.615132881	4139	2613	1954	48%	30%	22%
2020/1/12	157	7667	4996.130429	0.651640854	3912	2376	1379	51%	31%	18%
2020/1/13	215	6847	4194.728615	0.612637449	3149	2204	1494	46%	32%	22%
2020/1/14	215	6440	3944.214515	0.61245567	2995	2043	1402	47%	32%	22%
2020/1/15	220	6697	4073.475028	0.6082537	3087	2090	1520	46%	31%	23%
2020/1/16	224	6311	3992.053777	0.632554869	2963	2180	1168	47%	35%	19%
2020/1/17	206	5838	3640.484001	0.623584104	2814	1776	1248	48%	30%	21%
2020/1/18	76	2757	1711.035155	0.620614855	1292	910	555	47%	33%	20%
2020/1/19	159	4352	2743.747137	0.630456603	2128	1328	896	49%	31%	21%
2020/1/20	158	3886	2395.521803	0.616449254	1855	1165	866	48%	30%	22%
2020/1/21	179	4722	2803.368417	0.593682426	2106	1443	1173	45%	31%	25%
2020/1/22	176	4605	2644.999205	0.574375506	2030	1272	1303	44%	28%	28%
2020/1/23	172	6418	3699.075175	0.576359485	2708	2042	1668	42%	32%	26%
2020/1/24	194	6036	3597.671693	0.596035734	2717	1838	1481	45%	30%	25%
