日期	文章数	文章总分数	情感均值	积极	中立	消极	积极	中立	消极
2020/1/1	154	140.2588476	0.910771738	140	1	11	91%	1%	7%
2020/1/2	487	422.3712718	0.867292139	421	2	61	86%	0%	13%
2020/1/3	495	406.1306933	0.820466047	403	4	82	81%	1%	17%
2020/1/4	174	151.4270223	0.870270243	151	1	16	87%	1%	9%
2020/1/5	111	101.9771958	0.918713475	102	0	6	92%	0%	5%
2020/1/6	508	422.4015027	0.831499021	418	12	70	82%	2%	14%
2020/1/7	221	196.1419699	0.887520226	194	4	22	88%	2%	10%
2020/1/8	413	330.5200564	0.800290693	327	7	74	79%	2%	18%
2020/1/9	157	129.7362217	0.826345361	129	2	25	82%	1%	16%
2020/1/10	412	355.9890248	0.864051031	356	2	53	86%	0%	13%
2020/1/11	144	125.8978808	0.874290839	125	1	15	87%	1%	10%
2020/1/12	126	110.7634924	0.879075337	109	3	9	87%	2%	7%
2020/1/13	447	389.9878038	0.872455937	385	7	52	86%	2%	12%
2020/1/14	475	415.0545399	0.873799031	414	4	54	87%	1%	11%
2020/1/15	471	399.6745994	0.848566029	396	7	64	84%	1%	14%
2020/1/16	489	411.7275478	0.841978625	409	5	71	84%	1%	15%
2020/1/17	520	443.6236573	0.853122418	441	5	67	85%	1%	13%
2020/1/18	145	123.452393	0.851395814	122	3	16	84%	2%	11%
2020/1/19	258	218.3114461	0.846168396	217	3	32	84%	1%	12%
2020/1/20	509	404.4948177	0.7946853	399	11	96	78%	2%	19%
2020/1/21	535	427.2945032	0.798681314	425	5	102	79%	1%	19%
2020/1/22	474	362.0613106	0.763842427	360	3	107	76%	1%	23%
2020/1/23	390	283.5586936	0.727073573	281	4	103	72%	1%	26%
2020/1/24	169	129.2307998	0.764679289	126	5	38	75%	3%	22%
2020/1/25	92	57.73860618	0.627593545	56	2	34	61%	2%	37%
2020/1/26	58	32.5372697	0.560987409	32	1	25	55%	2%	43%
2020/1/27	109	74.05273075	0.679382851	73	2	32	67%	2%	29%
2020/1/28	142	97.2308398	0.684724224	94	7	41	66%	5%	29%
2020/1/29	226	147.421127	0.652305872	145	5	76	64%	2%	34%
2020/1/30	265	174.9522845	0.6601973	173	3	88	65%	1%	33%
2020/1/31	276	202.4707029	0.733589503	198	8	69	72%	3%	25%
2020/2/1	206	154.991371	0.752385296	155	1	47	75%	0%	23%
2020/2/2	198	149.3960091	0.754525299	147	4	47	74%	2%	24%
2020/2/3	468	354.559327	0.7576054	353	4	106	75%	1%	23%
2020/2/4	480	373.0722001	0.77723375	369	8	102	77%	2%	21%
2020/2/5	230	182.0910849	0.791700369	181	3	46	79%	1%	20%
2020/2/6	465	375.7489211	0.808062196	370	12	82	80%	3%	18%
2020/2/7	521	384.4671705	0.737940826	380	8	132	73%	2%	25%
2020/2/8	217	161.2528854	0.743100854	161	2	53	74%	1%	24%
2020/2/9	103	71.13751979	0.690655532	70	2	31	68%	2%	30%
2020/2/10	468	346.338879	0.74004034	342	7	117	73%	1%	25%
2020/2/11	477	364.7599545	0.764695921	361	6	109	76%	1%	23%
2020/2/12	465	355.9840642	0.765557127	351	7	105	75%	2%	23%
2020/2/13	543	451.9817658	0.832378943	451	6	81	83%	1%	15%
2020/2/14	477	370.3134506	0.776338471	366	8	101	77%	2%	21%
2020/2/15	186	148.9991163	0.801070518	148	1	35	80%	1%	19%
2020/2/16	142	102.2342475	0.719959489	101	2	35	71%	1%	25%
2020/2/17	202	164.1618682	0.812682516	163	4	35	81%	2%	17%
2020/2/18	518	408.9053357	0.78939254	405	8	100	78%	2%	19%
2020/2/19	451	372.1162844	0.82509154	368	8	72	82%	2%	16%
2020/2/20	470	368.3537299	0.78373134	364	6	98	77%	1%	21%
2020/2/21	457	365.3983252	0.799558698	363	3	89	79%	1%	19%
2020/2/22	163	137.9564279	0.846358453	138	0	21	85%	0%	13%
2020/2/23	100	88.29211443	0.882921144	86	5	7	86%	5%	7%
