日期	文章数	文章分数	文章均值	积极	中立	消极	积极	中立	消极
2020/1/1	9	3.924632427	0.43607027	4	0	5	44%	0%	56%
2020/1/2	19	11.99802877	0.631475198	12	0	7	63%	0%	37%
2020/1/3	18	16.98130968	0.943406093	17	0	1	94%	0%	6%
2020/1/4	5	3.007138469	0.601427694	3	0	2	60%	0%	40%
2020/1/5	5	4.999783415	0.999956683	5	0	0	100%	0%	0%
2020/1/6	9	7	0.777777778	7	0	2	78%	0%	22%
2020/1/7	6	5.999999677	0.999999946	6	0	0	100%	0%	0%
2020/1/8	15	13.3665395	0.891102634	13	1	1	87%	7%	7%
2020/1/9	9	8.997791411	0.999754601	9	0	0	100%	0%	0%
2020/1/10	15	10.90742292	0.727161528	10	2	3	67%	13%	20%
2020/1/11	13	12.99997724	0.999998249	13	0	0	100%	0%	0%
2020/1/12	3	2.200640194	0.733546731	2	0	1	67%	0%	33%
2020/1/13	7	6.144183021	0.877740432	6	0	1	86%	0%	14%
2020/1/14	13	12.99546817	0.999651397	13	0	0	100%	0%	0%
2020/1/15	12	9.783761311	0.815313443	9	1	2	75%	8%	17%
2020/1/16	8	5.019444784	0.627430598	5	0	3	63%	0%	38%
2020/1/17	5	4.000229302	0.80004586	4	0	1	80%	0%	20%
2020/1/18	10	9.263655733	0.926365573	9	0	1	90%	0%	10%
2020/1/19	40	35.97633666	0.899408417	36	0	4	90%	0%	10%
2020/1/20	125	81.40306612	0.651224529	79	5	41	63%	4%	33%
2020/1/21	335	154.159664	0.460178101	148	12	175	44%	4%	52%
2020/1/22	422	269.0113988	0.63746777	266	6	150	63%	1%	36%
2020/1/23	602	328.7486516	0.546094106	322	14	266	53%	2%	44%
2020/1/24	426	261.0974063	0.61290471	255	12	159	60%	3%	37%
2020/1/25	437	270.0196502	0.617893936	261	15	161	60%	3%	37%
2020/1/1	9	3.924632427	0.43607027	4	0	5	44%	0%	56%
2020/1/2	19	11.99802877	0.631475198	12	0	7	63%	0%	37%
2020/1/3	18	16.98130968	0.943406093	17	0	1	94%	0%	6%
2020/1/4	5	3.007138469	0.601427694	3	0	2	60%	0%	40%
2020/1/5	5	4.999783415	0.999956683	5	0	0	100%	0%	0%
2020/1/6	9	7	0.777777778	7	0	2	78%	0%	22%
2020/1/7	6	5.999999677	0.999999946	6	0	0	100%	0%	0%
2020/1/8	15	13.3665395	0.891102634	13	1	1	87%	7%	7%
2020/1/9	9	8.997791411	0.999754601	9	0	0	100%	0%	0%
2020/1/10	15	10.90742292	0.727161528	10	2	3	67%	13%	20%
2020/1/11	13	12.99997724	0.999998249	13	0	0	100%	0%	0%
2020/1/12	3	2.200640194	0.733546731	2	0	1	67%	0%	33%
2020/1/13	7	6.144183021	0.877740432	6	0	1	86%	0%	14%
2020/1/14	13	12.99546817	0.999651397	13	0	0	100%	0%	0%
2020/1/15	12	9.783761311	0.815313443	9	1	2	75%	8%	17%
2020/1/16	8	5.019444784	0.627430598	5	0	3	63%	0%	38%
2020/1/17	5	4.000229302	0.80004586	4	0	1	80%	0%	20%
2020/1/18	10	9.263655733	0.926365573	9	0	1	90%	0%	10%
2020/1/19	40	35.97633666	0.899408417	36	0	4	90%	0%	10%
2020/1/20	125	81.40306612	0.651224529	79	5	41	63%	4%	33%
2020/1/21	335	154.159664	0.460178101	148	12	175	44%	4%	52%
2020/1/22	422	269.0113988	0.63746777	266	6	150	63%	1%	36%
2020/1/23	602	328.7486516	0.546094106	322	14	266	53%	2%	44%
2020/1/24	426	261.0974063	0.61290471	255	12	159	60%	3%	37%
2020/1/25	437	270.0196502	0.617893936	261	15	161	60%	3%	37%
2020/1/26	386	263.7855138	0.68338216	261	7	117	68%	2%	30%
2020/1/27	430	307.7288527	0.715648495	303	10	116	70%	2%	27%
2020/1/28	498	336.9023957	0.676510835	329	16	152	66%	3%	31%
2020/1/29	548	370.5519781	0.676189741	363	11	172	66%	2%	31%
2020/1/30	493	355.7187908	0.721539129	352	10	131	71%	2%	27%
2020/1/31	711	491.5580651	0.691361554	481	19	210	68%	3%	30%
2020/2/1	639	416.1391663	0.651235002	410	11	215	64%	2%	34%
2020/2/2	616	427.8231346	0.694518076	419	17	180	68%	3%	29%
2020/2/3	769	549.2171867	0.714196602	539	17	209	70%	2%	27%
2020/2/4	730	503.4844175	0.689704682	498	11	219	68%	2%	30%
2020/2/5	393	281.7401225	0.716895986	279	5	109	71%	1%	28%
2020/2/6	676	465.3300829	0.688358111	458	12	203	68%	2%	30%
2020/2/7	660	482.7331504	0.731413864	478	11	171	72%	2%	26%
2020/2/8	449	323.1675577	0.719749572	320	5	123	71%	1%	27%
2020/2/9	337	245.1768638	0.727527786	243	5	88	72%	1%	26%
2020/2/10	682	469.134019	0.687879793	458	17	206	67%	2%	30%
2020/2/11	699	519.9125406	0.743794765	513	12	171	73%	2%	24%
