日期	文章数	文章总分	文章均值	积极	中立	消极	积极	中立	消极
2020/1/1	130	111.9885907	0.861450698	111	1	15	85%	1%	12%
2020/1/2	235	200.5682014	0.853481708	199	3	32	85%	1%	14%
2020/1/3	324	275.478699	0.850242898	275	2	46	85%	1%	14%
2020/1/4	207	190.8308801	0.92188831	190	2	12	92%	1%	6%
2020/1/5	186	174.2748339	0.936961473	174	0	12	94%	0%	6%
2020/1/6	398	350.7585722	0.881302945	349	3	43	88%	1%	11%
2020/1/7	138	121.3038155	0.879013156	120	3	14	87%	2%	10%
2020/1/8	548	463.8728554	0.846483313	461	8	74	84%	1%	14%
2020/1/9	119	103.0493381	0.865960825	103	0	15	87%	0%	13%
2020/1/10	359	306.7800305	0.854540475	303	8	48	84%	2%	13%
2020/1/11	222	180.4556393	0.81286324	178	3	41	80%	1%	18%
2020/1/12	191	164.6882804	0.862242306	164	1	26	86%	1%	14%
2020/1/13	289	247.6076194	0.85677377	242	9	37	84%	3%	13%
2020/1/14	294	247.4875306	0.841794322	247	2	40	84%	1%	14%
2020/1/15	322	275.4396744	0.855402715	272	6	44	84%	2%	14%
2020/1/16	341	314.3238785	0.921770905	314	2	22	92%	1%	6%
2020/1/17	287	250.5743072	0.87308121	248	4	33	86%	1%	11%
2020/1/18	115	100.2118287	0.871407206	100	1	13	87%	1%	11%
2020/1/19	235	207.2329817	0.881842475	205	4	25	87%	2%	11%
2020/1/20	244	202.8543203	0.831370165	202	1	39	83%	0%	16%
2020/1/21	307	234.4913688	0.763815534	232	6	67	76%	2%	22%
2020/1/22	298	215.2117255	0.722186998	213	4	79	71%	1%	27%
2020/1/23	280	179.9908458	0.642824449	174	10	96	62%	4%	34%
2020/1/24	271	176.2112683	0.650226082	169	11	91	62%	4%	34%
2020/1/25	240	127.2833639	0.53034735	122	9	109	51%	4%	45%
2020/1/26	202	101.4615207	0.502284756	98	6	98	49%	3%	49%
2020/1/27	255	166.0160582	0.651043365	164	4	87	64%	2%	34%
2020/1/28	284	171.5765042	0.604142621	166	8	110	58%	3%	39%
2020/1/29	328	174.9731202	0.533454635	172	6	150	52%	2%	46%
2020/1/30	300	188.5136907	0.628378969	184	11	105	61%	4%	35%
2020/1/31	415	256.1823427	0.61730685	246	17	152	59%	4%	37%
2020/2/1	419	262.7434352	0.627072638	260	4	154	62%	1%	37%
2020/2/2	347	190.83224	0.549948818	186	10	151	54%	3%	44%
2020/2/3	495	305.3830017	0.616935357	302	8	184	61%	2%	37%
2020/2/4	491	308.0627265	0.627418995	304	9	178	62%	2%	36%
2020/2/5	236	145.6923133	0.61734031	143	5	88	61%	2%	37%
2020/2/6	525	316.085546	0.602067707	312	5	208	59%	1%	40%
2020/2/7	502	305.9936352	0.609549074	300	11	190	60%	2%	38%
2020/2/8	277	175.4035129	0.633225678	173	4	100	62%	1%	36%
2020/2/9	243	131.1565295	0.539738804	126	7	110	52%	3%	45%
2020/2/10	529	317.8439344	0.600839196	308	20	197	58%	4%	37%
2020/2/11	482	313.9853583	0.651421905	309	8	165	64%	2%	34%
2020/2/12	517	337.766337	0.653319801	333	9	174	64%	2%	34%
2020/2/13	491	346.2533076	0.705200219	342	9	139	70%	2%	28%
2020/2/14	466	296.1309549	0.635474152	293	7	165	63%	2%	35%
2020/2/15	229	147.4112812	0.643717385	146	3	78	64%	1%	34%
2020/2/16	213	128.733369	0.604382014	125	7	81	59%	3%	38%
2020/2/17	145	92.3806878	0.637108192	91	3	51	63%	2%	35%
2020/2/18	360	240.6023874	0.668339965	237	9	114	66%	3%	32%
2020/2/19	383	263.211518	0.687236339	260	6	115	68%	2%	30%
2020/2/20	319	216.941076	0.680066069	214	6	99	67%	2%	31%
2020/2/21	308	201.2031267	0.653256905	197	9	101	64%	3%	33%
2020/2/22	159	106.1232202	0.667441637	105	2	52	66%	1%	33%
2020/2/23	201	131.0216255	0.651848883	129	3	69	64%	1%	34%
2020/2/24	342	250.1183219	0.731340123	247	8	83	72%	2%	24%
2020/2/25	370	270.6552974	0.731500804	265	10	93	72%	3%	25%
2020/2/26	312	215.8684147	0.691885945	214	5	92	69%	2%	29%
2020/2/27	379	257.8652761	0.680383314	255	6	114	67%	2%	30%
2020/2/28	418	280.200943	0.670337184	274	11	129	66%	3%	31%
2020/2/29	216	153.2056054	0.70928521	153	2	61	71%	1%	28%
2020/3/1	182	125.4736884	0.689415871	121	5	56	66%	3%	31%
2020/3/2	371	256.0545151	0.690173895	251	10	107	68%	3%	29%
2020/3/3	400	270.5939765	0.676484941	269	6	123	67%	2%	31%
2020/3/4	427	283.535311	0.664017122	279	9	135	65%	2%	32%
2020/3/5	396	269.5577273	0.680701332	265	9	119	67%	2%	30%
2020/3/6	320	229.3313937	0.716660605	223	11	82	70%	3%	26%
2020/3/7	164	115.2140358	0.702524608	112	6	45	68%	4%	27%
2020/3/8	166	116.3440134	0.700867551	114	6	44	69%	4%	27%
2020/3/9	306	230.2686139	0.75251181	229	4	72	75%	1%	24%
2020/3/10	390	278.5784096	0.714303614	275	10	103	71%	3%	26%
2020/3/11	364	270.0883206	0.742000881	266	7	90	73%	2%	25%
2020/3/12	413	323.0272619	0.782148334	319	12	82	77%	3%	20%
2020/3/13	418	315.2747197	0.754245741	310	12	93	74%	3%	22%
2020/3/14	240	159.8013285	0.665838869	153	11	76	64%	5%	32%
2020/3/15	192	131.1971545	0.683318513	130	4	57	68%	2%	30%
2020/3/16	343	261.2474267	0.761654305	257	8	77	75%	2%	22%
2020/3/17	388	295.5079184	0.761618346	293	7	87	76%	2%	22%
2020/3/18	369	262.8438979	0.712314086	259	11	98	70%	3%	27%
2020/3/19	386	275.430955	0.713551697	271	9	105	70%	2%	27%
